type,squareMeters,floor,floorCount,centreDistance,poiCount,ownership,hasBalcony,hasElevator,price
blockOfFlats,47,6,12,0.79,67,condominium,yes,yes,449000
apartmentBuilding,88.22,1,2,4.09,0,condominium,yes,no,950000
apartmentBuilding,117,4,4,2.19,10,udzial,yes,no,1099000
blockOfFlats,33.31,1,4,1.93,39,cooperative,no,no,380000
blockOfFlats,56,7,7,2.68,10,condominium,yes,yes,799000
blockOfFlats,68.61,4,4,3.94,7,condominium,yes,no,599000
blockOfFlats,101.25,,2,7.95,14,condominium,yes,no,720000
blockOfFlats,29.6,7,11,2.52,15,cooperative,no,yes,319000
tenement,97.2,,3,1.33,18,condominium,no,no,720000
blockOfFlats,26.8,4,5,1.69,25,cooperative,no,yes,322000
blockOfFlats,75,4,4,8.78,5,cooperative,yes,no,650000
blockOfFlats,68.94,3,4,3.07,5,condominium,yes,no,540000
apartmentBuilding,66.78,2,6,1.21,9,condominium,yes,yes,749000
tenement,89.34,,4,1.04,47,condominium,yes,no,600000
apartmentBuilding,33.76,1,10,2.62,14,condominium,yes,yes,399000
blockOfFlats,48.15,2,3,3.79,6,condominium,yes,no,565000
apartmentBuilding,79,2,6,1.5,20,condominium,no,yes,950000
tenement,61.48,,3,8.16,1,condominium,no,no,359000
blockOfFlats,47.88,,4,3.21,15,condominium,no,no,415000
blockOfFlats,50,3,3,7.02,4,condominium,no,no,429000
blockOfFlats,60.38,3,4,2.92,13,condominium,yes,yes,699000
apartmentBuilding,71.47,2,3,5.07,13,condominium,yes,yes,929000
blockOfFlats,37.73,,2,4.71,4,condominium,no,no,499000
tenement,39.76,2,3,1.45,53,condominium,no,no,329000
blockOfFlats,36,9,10,0.79,67,condominium,yes,yes,380000
blockOfFlats,42.42,2,10,2.81,2,condominium,yes,yes,559000
blockOfFlats,30.94,2,10,2.05,16,cooperative,no,yes,309000
apartmentBuilding,39,6,7,2.04,8,condominium,yes,yes,550000
apartmentBuilding,71.47,2,3,5.07,13,condominium,yes,yes,929000
,55.99,3,3,1.35,67,condominium,no,no,450000
blockOfFlats,83.3,4,4,5.05,1,condominium,yes,yes,1050000
blockOfFlats,47.55,7,10,1.34,26,cooperative,yes,yes,489000
blockOfFlats,63,1,4,5.75,10,condominium,yes,no,660000
blockOfFlats,76.19,4,4,1.28,19,cooperative,yes,no,675000
tenement,53.58,4,4,1.42,76,condominium,no,no,399000
blockOfFlats,45.5,2,4,3.91,10,cooperative,no,no,499000
tenement,132.21,3,4,1.26,61,condominium,no,no,795000
tenement,25.08,5,5,1.04,47,condominium,no,yes,309000
blockOfFlats,51.77,7,10,1.04,47,cooperative,no,yes,409000
,53.8,5,5,0.79,60,cooperative,no,yes,380000
tenement,69.57,,4,1.41,31,condominium,no,,520000
apartmentBuilding,79.5,4,5,0.32,53,condominium,yes,yes,870000
tenement,50,,1,9.32,6,condominium,no,no,320000
blockOfFlats,62.88,4,8,7.54,0,condominium,yes,yes,482000
blockOfFlats,69,3,3,9.24,9,cooperative,yes,no,639000
blockOfFlats,57,5,12,2.02,16,condominium,yes,yes,490000
blockOfFlats,64.2,3,3,9.24,9,cooperative,yes,no,519000
blockOfFlats,47,10,11,3.5,15,cooperative,yes,yes,349000
blockOfFlats,63,11,11,5.76,14,cooperative,yes,yes,469000
blockOfFlats,77,6,11,7.91,23,condominium,yes,yes,450000
blockOfFlats,60.7,1,4,1.32,13,cooperative,yes,no,450000
blockOfFlats,70,3,4,5.14,1,condominium,yes,no,370000
blockOfFlats,115,3,3,4.38,5,condominium,yes,no,640000
tenement,95.78,,4,1.04,47,condominium,no,no,649000
tenement,52.93,3,4,1.25,20,condominium,yes,no,585000
,69.55,5,5,1.62,54,condominium,no,no,619000
blockOfFlats,48,4,4,3.53,9,cooperative,yes,no,449000
tenement,41,4,4,1.04,47,condominium,no,,330000
blockOfFlats,45.5,2,4,3.89,10,cooperative,yes,no,499000
blockOfFlats,59.3,,4,2.96,17,cooperative,yes,no,539000
,48.45,2,4,0.6,65,condominium,yes,no,540000
,43.68,3,4,1.76,32,condominium,no,no,388000
blockOfFlats,65.25,1,12,3.45,15,condominium,no,yes,685000
apartmentBuilding,57.36,2,4,3.69,0,condominium,no,yes,690000
tenement,124.8,2,4,1.36,84,condominium,no,,830800
tenement,95.23,3,4,1.36,84,condominium,no,,636500
tenement,105.4,3,4,1.36,84,condominium,no,,703500
blockOfFlats,89.08,2,2,6.13,1,condominium,yes,no,849000
tenement,57,2,4,1.51,75,condominium,no,yes,449000
tenement,62.37,2,3,0.89,18,condominium,no,no,539000
,79.5,1,1,8.16,11,condominium,no,no,450000
,47.2,,4,3.39,10,cooperative,no,no,399000
,90,3,4,1.91,49,condominium,yes,no,699000
blockOfFlats,53,3,4,5.78,12,cooperative,yes,no,479000
blockOfFlats,57,2,3,6.66,4,condominium,no,no,610000
tenement,125.54,1,4,1.67,72,condominium,no,no,999000
tenement,38.7,1,4,1.51,75,condominium,yes,no,460000
apartmentBuilding,45.34,2,27,1.59,35,condominium,no,yes,750000
blockOfFlats,57.7,2,3,6.68,2,condominium,no,no,610000
blockOfFlats,30.2,3,6,1.65,5,condominium,no,yes,445000
apartmentBuilding,76.6,1,2,8.42,0,condominium,yes,no,899000
blockOfFlats,30.2,1,3,2.68,6,condominium,no,no,389000
blockOfFlats,62.2,,3,4.87,11,condominium,yes,no,780000
,57,1,4,8.39,1,cooperative,no,,419000
blockOfFlats,122.5,4,4,1.58,17,cooperative,yes,no,940000
blockOfFlats,67,8,10,3.58,15,condominium,yes,yes,619000
blockOfFlats,44,,4,4.52,6,condominium,no,no,449000
blockOfFlats,46.7,8,10,0.93,63,cooperative,yes,yes,429000
blockOfFlats,62.2,10,11,3.96,7,cooperative,yes,yes,599000
blockOfFlats,43.07,1,3,0.65,52,condominium,no,no,469000
apartmentBuilding,63,3,5,0.42,21,condominium,yes,yes,890000
,47.58,3,3,0.79,67,condominium,no,no,429000
,35.4,2,3,4.38,5,condominium,yes,no,460000
tenement,74.86,3,4,1.5,51,condominium,no,no,549000
